구분,,,,,,Crude,,,,,,,,,LPG,,,,WSR,,,LSR,,,,,,,,HSR,,,,,Kero,,,,,,,LKD,HKD,,Diesel,,,,,,,RC,,,,,,,,,,,,,,,,,,LLVGO,,,,,LVGO,,,,,,,,,,,,,,,,,,HVGO,,,,,,,,,,,,,,,,,,HHVGO,,,,,,,VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RFCC Max Blending Ratio,,,,,,,,,HCR Feed VGO,,,,,,,,,,,,,HCR Feed Max Blending Ratio,,,,,,,,,,VRHCR Max Blending Ratio,,,,,,,,,
Assay ID,Feedstock,채취일,공식Assay 여부,Feedstock코드,Origin,API,Sulfur wt. %,Fe ppm,P/P ℃,Nitrogen ppm,Mercaptan ppm,TAN mg KOH/g,Cl ppm,Salt PTB,Yield vol. %,SG,RVP psi,Mercaptan ppm,Yield %,SG,N+2A %,Yield %,SG,N-Paraffines %,I-Paraffines %,Olefines %,Naphthenes %,Aromatics %,CS2 wtppm,Yield %,S.G,N+2A %,Naphthenes %,Nitrogen ppm,Yield %,S.G,Sulfur %,Freeze Point ℃,Aromatics %,Smoke Point mm,Mercaptan ppm,Yield %,Yield %,Freeze Point ℃,Yield %,S.G,Sulfur %,C/P ℃,P/P ℃,Cetane Index,TAN mg KOH/g,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,V(50) cSt.,N+2A %,Ni+V ppm,Ni ppm,V ppm,Fe ppm,MCRT wt. %,TAN mg KOH/g,Na ppm,Copper ppm,ASP(C7) wt. %,UOPK,Yield %,S.G,Sulfur %,Nitrogen ppm,V(50) cSt.,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,MCRT wt. %,VK,V(40) cSt.,V(50) cSt.,V(100) cSt.,VI,TAN mg KOH/g,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,VK,MCRT %,V(40) cSt.,V(50) cSt.,V(100) cSt.,VI,TAN mg KOH/g,Yield %,S.G,Sulfur %,Nitrogen ppm,P/P ℃,MCRT wt. %,V(50) cSt.,Yield %,API,S.G,Sulfur %,Nitrogen ppm,P/P ℃,MCRT wt. %,Ni+V ppm,Ni ppm,V ppm,SEDEX,TAN mg KOH/g,Na ppm,Copper ppm,Fe ppm,Ca ppm,Mg ppm,Ca+Mg+Fe ppm,Parrafines %,Aromatics %,ASP(C7) wt. %,Resin %,CII (SARA),V(50) cSt.,V(70) cSt.,V(100) cSt.,V(110) cSt.,VR/AR %,MCRT/S Ratio,S/N Ratio,SARA Saturates wt. %,SARA Asphaltene wt. %,SARA Resin wt. %,SARA Aromatics wt. %,API,Sulfur %,Nitrogen ppm,MCRT %,V(50) (Feed 85kbd) cSt.,UOPK,Ni+V ppm,Na ppm,Fe ppm,API,Sulfur wt. %,Nitrogen ppm,Ni+V ppm,Ni ppm,V ppm,Fe ppm,ASP(C7) wtppm,V(100) cSt.,MCRT wt. %,VI,VK Factor,TAN mg KOH/g,Sulfur %,Nitrogen (단기) %,Nitrogen (장기) %,Ni+V %,Fe %,ASP(C7) %,V(100) %,MCRT %,VI %,TAN %,Sulfur %,Nitrogen %,MCRT %,Ni+V %,Fe %,Na %,ASP(C7) %,CII (SARA) %,SEDEX %,V(100) %
ABO-T2,ABO,2004-11-25,Y,case001,Nigeria,38.8,0.1,3.8,4.9,935,3.5,0.79,,,2.9,0.565,45.9,0,25.2,0.73,58.3,9.8,0.681,29.9,44.6,0,23.4,2.1,,15.4,0.761,77.9,46.7,0,21.2,0.806,0,-51.7,17.5,24.1,6.9,10.7,10.6,-44.1,30.3,0.861,0.1,4.3,3.2,51.1,0.7,20.4,16.2,0.958,0.3,3638,40,246,117.9,18.1,17.1,1,16,4.6,1.31,,,1.1,11.7,3,0.906,0.2,1119,16.8,4.7,22.3,0.92,0.2,1466,37.2,0,0,0,0,0,0,3.5,49.8,32,6.9,93.7,1.8,7.3,18.4,0.944,0.3,2451,54,0.2,0.2,0,0.2,240.3,3.3,0.5,252.9,137.1,17.2,64.4,1.7,0.2,0.972,0.4,3809,62.8,2.8,1042,5.1,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4032.32013,2438,25.3,29.2,0.5,,,,,40.9,,24,,28.4,,,,3.7,19.2,0.3,2254,0.2,0.2,0,0.2,192.2,15.2,0.4,70.3,3.4,1.7,,14.2,2.9,,,43.2,,,,81.4,,5.8,,,19.5,,,,20.9,59.3
ABC-T1,Abu Dhabi Condensate,2016-06-09,Y,case002,U.A.E.,59.6,0,0,-31.1,13,0.7,0.16,,,3.8,0.571,45.9,0,67,0.715,49.6,35.8,0.672,25.5,53.7,0,18.7,2.1,,31.2,0.764,80.1,43,0,22.8,0.796,0,-47.7,16.8,24.5,1.3,15.6,7.2,-35.6,6.1,0.854,0.1,-9.7,-9.6,49.8,0.1,0.3,21.5,0.925,0.2,1008,26.7,42,107.3,0,0,0,10.9,0.5,0.28,0,0,0,11.7,0.1,0.904,0.2,1224,15.3,0.1,22.3,0.92,0.2,912,24.3,0,0,0,0,0,0,3.6,51.4,33,7.2,98,0.3,0.1,17.1,0.952,0.2,733,36.6,0,0,0,6.8,19.3,3.3,0.7,486.4,247.4,25.1,61,0.3,0,0.991,0.3,1309,47.3,6.2,5017,0,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4112.966532,2438,25.3,29.2,0.5,,,,,,,,,,,,,6,18.2,0.2,769,0,0,0,5.5,15.4,21.5,0.5,68.4,3.4,0.3,,,,,5.7,,67.2,,,,,,,,2.4,,,,,
AWB-T1,Access Western Blend,2018-12-26,Y,case003,Canada,21.2,3.5,2.7,-39.8,2919,17.8,0,,,2.1,0.572,63,0,20.2,0.69,28.2,13.3,0.661,50,39.3,0,9.4,1.3,,7,0.744,59.2,36.4,0,4.9,0.806,0.4,-57.1,16.3,26.1,60.6,2.8,2.1,-47.8,15.9,0.899,1.8,-23.8,-23.9,39.4,0,56.9,5.2,1.035,5.1,4535,34.8,75053,144.2,212.1,70.7,141.4,4.2,17.7,1.34,0,0.6,11.1,11.2,3.1,0.952,3,745,23.8,5.9,14.3,0.971,3.4,1378,1.2,0,0,0,0,0,0,3,139.3,80.8,12.6,77.4,0.5,16.2,11.5,0.99,3.9,2699,18.4,4.3,0.6,3.7,0,0.2,3,2.4,1682.4,757.6,50.9,58.2,2.9,0.9,1.009,4.3,3529,27.4,7.4,14813,30.8,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4195.225863,2438,25.3,29.2,0.5,,,,,12.5,21.5,17,8.6,6.7,,5.5,,30.2,12,3.8,2435,3.4,0.5,3,0,0.2,43.2,1.9,62,3,2.4,35.1,12.2,2.4,9.2,,,36.3,15.3,,52,,10.2,51.6,55,,,57.8,,9,15.2
AGB-T1,Agbami,2018-05-22,Y,case004,Nigeria,47.2,0.1,1,-12.5,345,19,0.06,,,3.2,0.551,63,0,28.7,0.711,39.7,13.2,0.669,25.3,60.1,0,12.2,2.4,,15.5,0.747,58.9,31.8,0,24.2,0.782,0,-35.8,13.6,27.2,6.1,12.5,11.7,-27.5,29.3,0.831,0.1,9.1,10.3,63.9,0.1,14.6,21.8,0.923,0.2,1772,40.8,60,91,12.2,12,0.2,6,3.1,0.36,13.8,0,0.4,11.9,2.8,0.888,0.1,688,10,4.2,25.3,0.902,0.1,904,42.5,0,0,0,0,0,0,4,28.2,19.1,4.9,95.7,0.3,5.4,21.7,0.924,0.2,1451,56.9,0.5,0.5,0,0.2,134.1,3.8,1.3,135.6,77.7,11.8,67,0.5,0.1,0.956,0.2,2385,65.2,6.1,735,2.2,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4279.13038,2438,25.3,29.2,0.5,,,,,,,,,,,,3.8,14.4,22.4,0.2,1342,0.4,0.4,0,0.2,107.3,10.4,1,72.8,3.8,0.4,,,21.2,,,90.6,,47.1,,,,18.8,,,35.9,,,,,
ALR-T20-PIONA,Al Rayyan,2022-02-07,Y,case005,Qatar,23.8,3.3,2.8,-10.2,1264,155.4,0.12,,,0.8,0.569,45.9,0,12.2,0.694,25.8,6.2,0.658,41.7,48.4,0,9.7,0.2,,5.9,0.733,42.2,23.9,0,12.2,0.795,0.3,-52.6,18.1,28.5,92.3,6.3,5.9,-44.6,22.4,0.869,2.2,-2.2,-1.9,49.6,0.1,52.4,9.7,1.002,4.9,2137,24.1,4444,129.9,102.7,33.8,68.9,4.8,13.8,0.08,38.2,0.1,9.6,11.5,3.5,0.912,3.2,497,13,6.4,21,0.928,3.3,670,24.6,0,0,0,0,0,0,3.8,63.1,38.2,7.1,55.2,0.1,16.4,16.6,0.955,4,1122,40.1,0.9,0.4,0.5,0.1,61.2,3.7,1.1,283.5,150.5,17.8,56.9,0.1,0.8,0.985,4.6,1561,48.1,4.2,1221,25.4,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4364.712988,2438,25.3,29.2,0.5,,,,,17.5,22.7,63,11.9,9.7,,12.3,1.3,21.9,17.5,3.9,1032,0.7,0.3,0.4,0,49,15.7,0.9,56.6,3.7,0.1,29.5,,,54.9,,,,75.8,59.3,,,,,,,30.8,78.2,,,22.2
ALS-T18-nit,Al Shaheen,2020-06-18,Y,case006,Qatar,29.6,2.2,1.2,-47.6,854,295.3,0.17,,,2.5,0.567,45.9,0,13,0.697,28.6,6.7,0.659,42.1,48.6,0,8,1.3,,6.3,0.737,47.7,25.1,0,14.8,0.802,0.2,-62.1,17.9,25.2,336.5,7.3,7.5,-54.8,25.5,0.867,1.4,-3.1,-7,49.7,0,44.3,13.7,0.975,3.7,1686,3,826,117.9,68.4,17.4,51.1,2.5,9.4,0.23,0,0,3.4,11.7,3.6,0.908,2.5,401,11.8,6.7,22.5,0.919,2.3,526,23,0,0,0,0,0,0,4,35.6,23.3,5.4,78.3,0.1,15.4,18.4,0.944,2.9,877,39.8,1,0.3,0.8,0,20.7,3.8,0.9,236.3,127.8,16.1,58.3,0.3,0.7,0.973,3.6,1304,48,3.9,1236,17.9,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4452.007248,2438,25.3,29.2,0.5,,,,,27,36.2,,21.2,14.9,,20.1,,,19.2,2.8,807,0.8,0.2,0.6,0,16.5,13.9,0.7,62.3,3.9,0.3,,,,47.7,,,,,,,,,,,,,,,,48.8
ANS-T9,Alaskan North Slope,2021-04-12,Y,case007,U.S.A.,33.4,0.9,2,-49.9,1510,6.9,0.06,,,3.8,0.551,63,0,24,0.718,48,11,0.674,35.5,45.2,0,17.5,1.8,,13,0.756,71,42.8,0,14.8,0.807,0.1,-55.4,17,20.5,6.6,7.8,7,-47.2,20.5,0.878,0.6,-10.5,-10.4,45.1,0.3,36.9,12.5,0.983,1.7,3482,14.9,1772,128.9,87.9,27.6,60.3,4.7,10.9,0.53,2.6,0,5.7,11.6,2.9,0.918,1.1,752,16.1,5.4,21.1,0.928,1.1,1139,20.7,0,0,0,0,0,0,3.5,57.7,35.4,6.9,61.3,0.7,12.2,17.2,0.952,1.4,2256,37.8,1.4,0.4,0.9,0.1,646.9,3.4,1,585.7,276.8,23.3,17,0.9,0.5,0.976,1.7,3259,46.5,4,2644,16,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4541.047393,2438,25.3,29.2,0.5,,,,,23.2,,25,16.8,11.9,,14.8,23.6,23,18,1.3,2033,1.1,0.3,0.8,0.1,517.5,20,0.8,25.9,3.4,0.9,,18,3.6,33.7,,14.4,74.7,,12.8,,,15.5,,,,,,,13.6,66.6
ACC-T1,Alen Condensate,2015-05-13,Y,case008,Guinea,57.7,0,0,-50,4,2.8,0.04,,,8.6,0.564,45.9,0,56.7,0.722,54.7,28.9,0.684,34,39.4,0,23.4,3.1,,27.9,0.762,80.7,48,0,22.8,0.81,0,-52.7,18.8,20.2,0.4,13.9,8.8,-42.3,10.9,0.855,0.1,-11,-11.3,50.4,0.1,1,28.8,0.883,0.1,209,26.6,24,78.3,0.2,0.1,0.1,0.4,0.9,0.11,,,0,12.2,0.4,0.865,0.1,68,11.9,0.4,30.4,0.874,0.1,109,23.3,0,0,0,0,0,0,5.1,27.9,19.2,5.2,117.7,0.1,0.2,24.8,0.905,0.1,340,36.1,0.1,0,0,0,12,4.4,0.7,103.3,62.8,11.2,93.9,0.1,0,0.959,0.2,960,47.8,5.4,1046,0,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4631.868341,2438,25.3,29.2,0.5,,,,,,,,,,50.9,,,,26,0.1,293,0.1,0,0,0,9.6,10,0.6,98.6,4.5,0.1,,,,,,,,,,,,,,,,,,,,
ALV-T1,Alvheim,2012-02-21,Y,case009,Norway,34.9,0.2,0.7,-24.7,555,8,0.1,,,1.6,0.551,63,0,15.3,0.737,61.7,5.6,0.696,34.7,30.7,0,32.6,1.9,,9.7,0.761,76.3,45.1,0,18.3,0.812,0,-56.3,14.3,22.4,13.4,8.8,9.5,-49,27.7,0.86,0.1,-10.8,-9.6,52,0.1,37.1,23.2,0.915,0.4,1365,31.5,92,120.3,3.9,1.9,2,1.7,2.5,0.14,3.4,0.2,0,12.2,4.2,0.887,0.3,189,13.3,7.9,27.6,0.889,0.2,388,19.8,0,0,0,0,0,0,4.4,35.6,23.4,5.6,91.2,0.2,16.2,25.8,0.9,0.3,1001,37.1,0.2,0.1,0.1,0.1,7.4,4.5,0.4,123.3,73,12.1,85.6,0.2,0.5,0.929,0.5,1713,47.1,2.2,386,8.4,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4724.505707,2438,25.3,29.2,0.5,,,,,,,,,,52.1,,17,,26.1,0.3,879,0.1,0.1,0.1,0.1,5.9,10.8,0.3,86.7,4.5,0.2,,,,,,,,,,,,,,,,,,,,
AXL-TP36,Arabian Extra Light,2022-08-08,Y,case010,Saudi Arabia,39.3,1,0.5,-34.9,486,178.4,0.01,,,1.5,0.558,63,0,23.5,0.706,34.9,11.4,0.666,41.9,46,0,9.7,2.5,,12.1,0.744,54.1,22.4,0,21.3,0.79,0.1,-42.1,19.4,25.9,202.9,13,8.4,-31.9,24.8,0.85,1,-1.5,-1.5,56.4,0,28.8,18.6,0.943,2.3,1418,27.4,180,114.7,18.7,6.6,12.1,1.6,6.7,0.07,3.1,0.5,1.6,11.9,3.2,0.893,1.8,383,10.4,5.6,25.8,0.9,1.4,523,25.7,0,0,0,0,0,0,4.2,29.2,19.9,5.2,105.3,0.1,11.1,21.8,0.923,1.9,939,39.7,0.4,0.1,0.2,0,19.2,4.1,0.8,148.8,85.5,13,74.6,0.1,0.4,0.955,2.5,1426,47.5,3.7,571,8.5,2.874025974,1.044,5.553246753,3533.506494,59.1,23.63155844,65.4,50.5025974,168.9655844,0.66312389,0.3,7.642857143,,11.63636364,3.613636364,,,7.9,45.1,4,42.9,0.1,1210936,88798,4818.995822,2438,25.3,29.2,0.5,,,,,82.9,,,41.8,38.7,,,19.4,,22.6,1.8,856,0.3,0.1,0.2,0,15.4,11.4,0.6,80.8,4.1,0.1,,,,,,,,,,,,,,,,,,,,
