Datetime,612FI747.PV,612FC702.PV,612FQI110.PV,612TI173F.PV,612TC106F.PV,612FQI116.PV,612TC173K.PV,612TC109E.PV,612TC138B.PV,612TC138A.PV,612PI131A.PV,612FC123.PV,612FC124.PV,612FC125.PV,612TI141A.PV,H12TI140A.PV,612TC168B.PV,612TC168A.PV,612FC127A.PV,612FC127B.PV,612PI145A.PV,612FC129.pv,612AI106A.pv,612AI106B.pv,612TC170A.PV,612TI170G.PV,612AI108A.pv,612AI108B.pv,612PC148A.pv,612FI130.PV,612FC148.PV,612TI707.PV,612FC195A.PV,612PC166Z.PV,612AI111B3.PV/100,(612FI143A.PV+612FI143B.PV+612FI143C.PV)/3,612FC201A.PV,612FC201B.PV,612FC201C.PV,612FC201D.PV,612FQI210.PV,612TI273F.PV,612TC206F.PV,612FQI216.PV,612TC273K.PV,612TC209E.PV,612TC238B.PV,612TC238A.PV,612PI231A.PV,612FC223.PV,612FC224.PV,612FC225.PV,612TI241A.PV,H12TI240A.PV,612TC268B.PV,612TC268A.PV,612FC227A.PV,612FC227B.PV,612PI245A.PV,612FC229.pv,612AI206A.pv,612AI206B.pv,612TC270A.PV,612TI270G.PV,612AI208A.pv,612AI208B.pv,612PC248A.pv,612FI330.PV,612FC248.PV,612TI707.PV,612FC295A.PV,612PC266Z.PV,612AI211B3.PV/100,(612FI243A.PV+612FI243B.PV+612FI243C.PV)/3,"Gravity, API",Specific Gravity 15.5/15.5,Total Sulfur,Total Nitrogen,IBP,5% Mass,10% Mass,20% Mass,30% Mass,40% Mass,50% Mass,60% Mass,vis 100°C,vis 175°C,MCRT,Nickel ,Vanadium,Iron,Sodium,Calcium,NC7 Asphaltenes ,NC5 Asphaltenes,SARA,Saturates,Aromatics,Resin,Asphaltene,Chloride,Residual at 579'C %,SARAII,NC5-NC7 Insoluble,SEDEX,SEDEX. CAL(By crude batch),SHFT(TR1),SHFT(TR2)
2010-09-01,0.0000 ,0.0002 ,102.1167 ,175.1376 ,293.5033 ,32237.2842 ,231.5369 ,280.0304 ,295.6092 ,289.0966 ,88.2656 ,10.4114 ,0.0000 ,0.0000 ,280.5544 ,286.1964 ,278.8432 ,258.8889 ,17619.4246 ,62.4262 ,80.0041 ,0.2348 ,20.8379 ,724.3523 ,277.7397 ,276.1594 ,24.5309 ,731.7813 ,21.9843 ,122.8676 ,120.0000 ,172.5076 ,0.0000 ,100.6477 ,0.0080 ,66031.5727 ,29.5448 ,44.9268 ,0.0000 ,0.0000 ,82.4000 ,118.4125 ,231.5732 ,17346.1338 ,122.6548 ,55.6034 ,226.4629 ,227.5416 ,37.4902 ,0.0000 ,0.0000 ,0.0000 ,212.9600 ,225.4670 ,211.6516 ,222.7650 ,3696.9091 ,0.0000 ,30.9329 ,1.7718 ,65.2634 ,654.8940 ,210.4438 ,204.3303 ,45.4959 ,749.0269 ,11.7042 ,0.0000 ,0.0000 ,172.5076 ,0.0000 ,49.3154 ,0.0000 ,28594.2370 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-02,0.0000 ,0.0043 ,103.3201 ,203.8388 ,299.6145 ,42786.1673 ,261.9419 ,330.2520 ,337.2943 ,300.9635 ,140.7251 ,15.0250 ,0.0000 ,0.0000 ,313.1236 ,322.8477 ,320.2388 ,294.8299 ,25348.7319 ,31.3175 ,132.4236 ,0.4421 ,24.2247 ,682.9459 ,316.9146 ,315.6822 ,26.1601 ,693.6570 ,22.6571 ,164.8519 ,120.0000 ,263.3356 ,0.0000 ,154.1224 ,0.0080 ,91189.5506 ,62.0861 ,28.4909 ,0.0000 ,0.0000 ,94.8000 ,100.9631 ,220.0442 ,30744.8736 ,174.5835 ,93.5891 ,217.0168 ,214.6592 ,38.9438 ,0.0000 ,0.0000 ,0.0000 ,209.7505 ,215.6803 ,215.7090 ,211.7112 ,13639.2160 ,2.9800 ,31.7823 ,1.7681 ,124.5142 ,673.1066 ,215.4917 ,210.5110 ,43.8970 ,748.2697 ,11.5235 ,0.0000 ,0.0000 ,263.3356 ,0.0000 ,51.4294 ,0.0000 ,45492.0639 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-03,1.5778 ,0.0000 ,111.7958 ,217.3236 ,294.1662 ,48376.3767 ,297.2154 ,383.2290 ,371.8713 ,306.4036 ,159.0355 ,15.0263 ,0.3952 ,0.0000 ,338.4156 ,356.1290 ,363.8947 ,331.0747 ,32717.3530 ,698.6604 ,150.8302 ,0.0013 ,27.2811 ,629.6697 ,357.2776 ,356.1233 ,30.1264 ,659.9160 ,23.3957 ,182.0215 ,120.0000 ,323.4708 ,0.0000 ,172.6543 ,0.2118 ,106253.1904 ,0.0000 ,89.6955 ,0.0000 ,0.0000 ,93.2000 ,152.5349 ,220.0315 ,34391.3549 ,175.8565 ,101.7262 ,212.9992 ,214.4960 ,39.3136 ,0.0000 ,0.0000 ,0.0000 ,207.4269 ,212.5071 ,210.5016 ,208.8365 ,13978.9313 ,0.0000 ,31.8506 ,1.7663 ,32.8940 ,673.5421 ,210.4256 ,206.3321 ,42.3585 ,750.2047 ,11.4310 ,0.0000 ,0.0000 ,323.4708 ,0.0000 ,51.7601 ,0.0000 ,50680.4454 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-04,88.3191 ,0.0000 ,162.5491 ,234.9315 ,299.7813 ,64141.9661 ,325.7597 ,412.1176 ,387.6546 ,314.2463 ,159.8481 ,13.2864 ,15.9956 ,0.0000 ,344.8465 ,363.7810 ,396.6080 ,335.4409 ,33552.5580 ,16693.5448 ,151.6701 ,0.0256 ,41.4215 ,551.8475 ,388.9954 ,387.8113 ,45.6607 ,663.2176 ,23.6842 ,159.2755 ,120.0000 ,370.2267 ,0.0000 ,173.8069 ,0.9699 ,134665.1001 ,71.0056 ,19.1323 ,0.0000 ,0.0000 ,96.0000 ,100.6736 ,220.3758 ,34389.8554 ,173.9345 ,101.6313 ,212.7227 ,214.8987 ,39.2994 ,0.0000 ,0.0000 ,0.0000 ,207.1974 ,212.2299 ,209.0608 ,207.9174 ,14121.9882 ,0.0000 ,31.7776 ,1.7684 ,33.1559 ,734.5747 ,209.1866 ,205.1342 ,44.9539 ,752.5951 ,11.4622 ,0.0000 ,0.0000 ,370.2267 ,0.0000 ,51.7684 ,0.0000 ,50968.5830 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-05,105.9604 ,1.9634 ,180.9121 ,242.1836 ,312.6175 ,65004.9234 ,322.5120 ,429.1866 ,393.2499 ,326.2320 ,160.0821 ,14.6987 ,11.9207 ,0.0000 ,354.0526 ,373.2896 ,400.6323 ,336.3587 ,28061.9673 ,24463.9497 ,151.9381 ,0.0000 ,41.1554 ,561.2338 ,394.2629 ,393.1950 ,46.7941 ,674.2168 ,23.7237 ,199.5568 ,120.0000 ,374.7882 ,0.0000 ,174.0761 ,0.9759 ,138382.3686 ,88.6686 ,0.0115 ,0.0000 ,0.0000 ,96.2000 ,83.3681 ,229.7493 ,34504.4338 ,177.5442 ,102.8079 ,219.2826 ,223.8540 ,39.1595 ,0.0000 ,0.0000 ,0.0000 ,213.3881 ,218.5976 ,212.9774 ,213.5220 ,14099.8687 ,0.0000 ,31.7896 ,1.7813 ,34.3696 ,686.5687 ,212.8503 ,208.9263 ,49.9173 ,745.6183 ,11.4465 ,0.0000 ,0.0000 ,374.7882 ,0.0000 ,51.6028 ,0.0000 ,50708.7587 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-06,100.7481 ,5.1902 ,182.5205 ,250.4689 ,315.8233 ,65000.2846 ,322.5512 ,437.3588 ,396.0924 ,330.7832 ,164.4596 ,15.0261 ,9.0745 ,0.4610 ,358.9407 ,377.5955 ,401.6018 ,340.7391 ,31752.1395 ,22527.1363 ,156.2750 ,0.3959 ,40.0262 ,608.8677 ,395.0861 ,394.0527 ,46.0975 ,675.7053 ,23.6805 ,172.2915 ,120.0000 ,373.3081 ,0.0000 ,178.8086 ,0.9983 ,141113.6925 ,87.9530 ,0.1916 ,0.0000 ,0.0000 ,96.0000 ,77.4070 ,230.0069 ,34672.8793 ,179.6559 ,101.2003 ,221.7404 ,223.8774 ,38.9389 ,0.0000 ,0.0000 ,0.0000 ,208.0489 ,221.1995 ,217.1059 ,213.5990 ,14115.1641 ,0.0000 ,31.6772 ,1.7752 ,97.8644 ,739.9315 ,216.8438 ,212.7747 ,50.1094 ,740.4176 ,11.6889 ,0.0000 ,0.0000 ,373.3081 ,0.0000 ,51.3562 ,0.0000 ,50445.6483 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-07,98.3962 ,5.0343 ,188.0424 ,261.4385 ,318.2758 ,65003.2317 ,316.9924 ,434.6436 ,398.9735 ,332.3621 ,175.1366 ,15.0069 ,8.7850 ,5.5671 ,361.6757 ,377.4843 ,405.0902 ,344.6734 ,35099.3717 ,22110.9312 ,165.6534 ,0.3221 ,41.7748 ,582.7302 ,398.6479 ,397.5778 ,48.2168 ,669.4693 ,23.9211 ,214.8545 ,120.0000 ,379.6520 ,0.0000 ,191.9585 ,0.9900 ,146825.0216 ,68.8274 ,20.3941 ,0.0000 ,0.0000 ,96.0000 ,90.5063 ,241.5753 ,34628.3287 ,180.1813 ,99.2334 ,226.8203 ,234.8293 ,38.9423 ,0.0000 ,0.0000 ,0.0000 ,216.8623 ,225.8408 ,218.9946 ,218.2270 ,14106.4814 ,0.0000 ,31.7063 ,1.7765 ,59.5430 ,701.5233 ,218.5863 ,214.2969 ,51.8174 ,739.3851 ,11.5889 ,0.0000 ,0.0000 ,379.6520 ,0.0000 ,51.3431 ,0.0000 ,49961.0484 ,6.2,1.0269,4.52,3932.6,501,544,562,590,619,650,688,732,,,,,,,,,,,,,,,,,,,,,,,
2010-09-08,98.6451 ,5.0313 ,188.6579 ,262.1329 ,319.5759 ,62152.1790 ,315.4994 ,448.3516 ,398.9771 ,334.9844 ,175.1948 ,14.9819 ,7.2827 ,6.0074 ,362.7961 ,378.3649 ,404.1738 ,345.7245 ,36267.3161 ,20976.6272 ,165.7219 ,0.1092 ,37.9596 ,565.3275 ,398.2736 ,397.3061 ,47.0087 ,671.4037 ,23.7682 ,199.8617 ,120.0000 ,379.4488 ,0.0000 ,192.0968 ,0.9933 ,144034.5393 ,0.0000 ,82.0430 ,19.9915 ,0.0000 ,98.9000 ,177.0087 ,258.3599 ,30599.8950 ,207.7532 ,191.4750 ,248.9061 ,253.2610 ,54.0515 ,0.0000 ,0.0000 ,0.0000 ,244.1866 ,247.7932 ,238.5660 ,239.5165 ,11689.9671 ,441.6171 ,46.6935 ,1.7724 ,30.9485 ,725.0430 ,236.8898 ,233.7563 ,40.3987 ,731.7824 ,11.9306 ,0.0000 ,0.0000 ,379.4488 ,0.0000 ,65.7808 ,0.6538 ,51840.7539 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-09,99.7558 ,5.0387 ,190.0074 ,260.6378 ,322.2879 ,60002.0627 ,315.9873 ,464.9839 ,398.7093 ,339.1410 ,175.2323 ,14.9865 ,4.3211 ,6.0068 ,364.7466 ,379.5000 ,402.1829 ,349.7764 ,40427.8768 ,16628.2828 ,165.7810 ,0.4733 ,36.2737 ,556.3834 ,396.8906 ,395.9496 ,46.3445 ,672.1858 ,23.8605 ,197.5292 ,120.0000 ,376.3085 ,0.0000 ,192.1281 ,0.9986 ,140959.1175 ,0.0000 ,46.5553 ,58.4128 ,0.0000 ,93.4000 ,225.3097 ,278.7626 ,34629.8696 ,229.0246 ,329.8725 ,291.1465 ,282.6987 ,101.3468 ,10.6992 ,0.0000 ,0.0000 ,278.8020 ,283.9840 ,272.2324 ,262.3835 ,21672.7356 ,0.0000 ,93.9913 ,1.7702 ,20.7206 ,745.6491 ,269.0375 ,267.7730 ,34.8236 ,749.5553 ,18.5873 ,0.0000 ,0.0000 ,376.3085 ,0.0000 ,113.7609 ,0.9671 ,69135.9890 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-10,102.8244 ,5.0359 ,190.0224 ,260.4285 ,324.0221 ,59998.1329 ,319.7143 ,456.6189 ,398.4920 ,339.1029 ,174.9960 ,14.9898 ,0.0000 ,6.0062 ,366.0765 ,381.3805 ,403.5243 ,354.7136 ,43313.9579 ,13683.8161 ,165.5817 ,0.3881 ,35.7290 ,532.7130 ,398.2978 ,397.3288 ,46.2150 ,671.1801 ,23.9036 ,201.8570 ,120.0000 ,377.9782 ,0.0000 ,191.9558 ,1.0000 ,139164.1833 ,0.0000 ,64.3388 ,43.1641 ,0.0000 ,91.2000 ,215.3273 ,304.0184 ,38643.6013 ,260.4376 ,349.9102 ,342.7315 ,307.3312 ,115.2904 ,15.0010 ,0.0000 ,0.0000 ,317.8313 ,327.9117 ,316.9267 ,302.4025 ,26857.0639 ,246.9651 ,107.9782 ,1.7721 ,21.9662 ,711.8348 ,312.7218 ,311.4216 ,35.1615 ,718.0283 ,20.5727 ,0.0000 ,0.0000 ,377.9782 ,0.0000 ,127.7132 ,0.9802 ,78400.2139 ,6.2,1.0269,4.52,3932.6,501,544,562,590,619,650,688,732,4336,107.2,23.14,42.8,114.5,,0.8,13,11.4,18.5,0.37,,,,,,,,7.1,,,,
