Datetime,612FI747.PV,612FC702.PV,612FQI116.PV,612TC138B.PV,612TC138A.PV,612PI131A.PV,612FC123.PV,612FC124.PV,612FC125.PV,612TC168B.PV,612TC168A.PV,612FC127A.PV,612FC127B.PV,612FC129.pv,612TC170A.PV,612PC148A.pv,612TI707.PV,612FC195A.PV,612AI111B3.PV/100,"Gravity, API",Total Sulfur,Total Nitrogen,vis 100°C,MCRT,Nickel ,Vanadium,Iron,Sodium,Calcium,NC7 Asphaltenes ,NC5 Asphaltenes,NC5-NC7 Insoluble,SEDEX,SEDEX. CAL(By crude batch),SHFT_avg
2010-12-26,315.9477,10.0465,62000.6095,415.6515,320.4762,176.3969,0.629,14.4166,6.0356,416.6954,340.3614,17620.1446,33390.027,9.5,406.0816,27.2327,388.1662,0.0,0.9744,3.3,5.81,4172.0,10775.0,24.65,69.2,194.1,11.1,9.0,1.2,13.34,23.74,10.4,0.417531644,0.541043453,0.1
2010-12-30,360.8878,10.0483,62000.6689,414.0148,318.9364,176.729,0.2683,14.8074,5.9633,414.0064,336.6899,18638.9079,32359.2549,7.4081,405.1769,27.127,389.0263,0.0,0.9855,3.0,5.95,3918.0,8805.5,25.99,52.5,172.8,8.6,20.5,1.3,12.75,21.14,8.39,0.442424277,0.451026679,0.1
2011-01-01,359.3414,10.0231,62001.1151,413.9022,321.2008,176.7521,1.5213,14.6116,5.9627,413.9407,336.7882,18735.8528,32260.3232,6.012,405.9795,27.1555,389.124,0.0,0.9889,3.6,5.82,4010.0,8095.0,24.67,54.4,154.9,11.3,23.9,1.6,14.04,23.65,9.61,0.407169517,0.329273564,0.045
2011-01-06,373.0667,12.999,61994.639,413.0251,325.017,176.6369,0.2902,13.0616,9.9633,413.0338,329.4047,16305.3746,33686.5786,5.0002,405.6421,27.1917,388.2516,0.0,0.9915,4.1,5.35,4021.8,7109.0,23.59,51.3,139.4,13.5,32.7,2.1,12.7,21.05,8.35,0.422127461,0.36981648,0.07500000000000001
2011-01-09,371.8529,13.0024,62000.8586,412.0073,329.8445,176.6699,0.0,13.2646,9.9649,412.019,334.004,19572.6519,30430.4193,4.5005,405.1778,27.1096,389.3634,0.0,0.9921,4.2,5.63,3964.0,6989.0,24.5,49.1,142.9,11.9,23.6,1.8,11.96,20.09,8.13,0.398509766,0.419640445,0.079
2011-01-13,372.8054,12.998,60546.0111,411.0353,330.2956,176.5078,0.0,11.5624,10.0385,411.1404,326.6925,14356.6274,35638.2764,3.6623,405.5097,27.05,391.4381,0.0,0.9928,4.7,5.27,3920.0,6777.8,21.54,49.2,142.3,13.4,28.1,1.7,13.49,22.23,8.74,0.387848791,0.449008777,0.098
2011-01-16,381.4584,12.9971,59999.3686,410.3458,332.2217,176.4006,0.0,14.3027,10.0371,411.0936,329.6621,17930.8168,32075.2822,3.6057,405.3713,27.1687,389.3247,0.0,0.9955,4.7,5.52,3881.2,6203.0,24.32,48.5,151.5,13.5,23.9,2.2,12.07,20.82,8.75,0.378060336,0.429213746,0.0845
2011-01-20,338.8814,13.0011,56097.6721,407.9504,335.0059,175.5476,0.0,13.952,9.9995,407.8489,327.4921,17050.3968,28997.5874,3.6106,402.6558,26.3327,386.8597,0.0,0.9973,5.1,5.56,3755.0,4223.0,23.82,46.7,142.7,15.1,20.7,1.9,10.72,18.18,7.46,0.360561405,0.386086755,0.02
2011-01-23,371.3894,12.9989,60998.374,411.0092,329.263,176.3873,0.0,14.981,9.9998,410.9465,331.5674,19084.6377,32915.9682,3.0013,405.9007,27.1356,391.8812,0.0,0.9911,4.6,5.76,3900.0,4468.9,23.8,61.1,160.6,29.5,20.4,2.7,10.64,18.55,7.91,0.365782949,0.311623201,0.1935
2011-01-26,374.2472,13.1588,61001.118,411.0099,328.6938,176.3851,0.0,15.5543,10.2937,411.024,328.132,17435.3078,34568.2818,3.5011,405.4796,27.1192,390.2757,0.0,0.9951,3.8,5.82,3846.0,7450.0,25.0,51.3,156.4,12.5,24.5,2.7,10.84,20.19,9.35,0.316591406,0.401682267,0.015
2011-01-29,374.291,12.9987,60400.3329,410.9315,330.308,176.3546,0.0,16.267,10.0111,410.972,326.7604,15826.5356,36172.4899,2.2849,406.4871,27.1798,392.5267,0.0,0.9921,4.2,5.65,3615.6,7205.0,24.35,51.4,154.6,12.3,19.4,2.9,13.42,21.64,8.22,0.413810579,0.453106876,0.017
2011-01-31,373.5106,13.0003,58999.6084,411.9586,330.123,176.2833,0.0,16.9471,10.0114,412.019,327.2791,16461.0882,35540.0631,2.4838,407.2004,27.3038,392.8884,0.0,0.9919,3.9,5.55,3866.5,8124.2,25.17,54.8,167.5,12.9,21.4,2.3,13.62,21.03,7.41,0.544619595,0.484708268,0.024
2011-02-02,373.7692,13.0005,58999.2414,412.0452,331.6061,176.1928,0.0,19.8709,10.0111,412.4486,323.4182,13161.2977,36839.6014,2.5709,407.1945,27.1992,394.2116,0.0,0.9892,4.0,5.6,3578.0,8996.0,26.66,54.6,167.7,13.4,21.8,2.7,12.19,21.16,8.97,0.391155853,0.472425092,0.046
