Datetime,612FI747.PV,612FC702.PV,612FQI116.PV,612TC138B.PV,612TC138A.PV,612PI131A.PV,612FC123.PV,612FC124.PV,612FC125.PV,612TC168B.PV,612TC168A.PV,612FC127A.PV,612FC127B.PV,612FC129.pv,612TC170A.PV,612PC148A.pv,612TI707.PV,612FC195A.PV,612AI111B3.PV/100,"Gravity, API",Total Sulfur,Total Nitrogen,vis 100°C,MCRT,Nickel ,Vanadium,Iron,Sodium,Calcium,NC7 Asphaltenes ,NC5 Asphaltenes,SARA,NC5-NC7 Insoluble,SEDEX,SEDEX. CAL(By crude batch),SHFT_avg
2010-12-30,360.8878,10.0483,62000.6689,414.0148,318.9364,176.729,0.2683,14.8074,5.9633,414.0064,336.6899,18638.9079,32359.2549,7.4081,405.1769,27.127,389.0263,0.0,0.9855,3.0,5.95,3918.0,8805.5,25.99,52.5,172.8,8.6,20.5,1.3,12.75,21.14,0.3,8.39,0.442424277,0.451026679,0.1
2011-02-02,373.7692,13.0005,58999.2414,412.0452,331.6061,176.1928,0.0,19.8709,10.0111,412.4486,323.4182,13161.2977,36839.6014,2.5709,407.1945,27.1992,394.2116,0.0,0.9892,4.0,5.6,3578.0,8996.0,26.66,54.6,167.7,13.4,21.8,2.7,12.19,21.16,0.302931596,8.97,0.391155853,0.472425092,0.046
2011-02-04,374.3859,13.0007,58546.0821,412.2296,331.411,176.2433,0.0,20.0682,10.0106,412.2627,321.367,12073.2251,37932.2231,2.3712,407.1536,27.2751,394.5177,0.0,0.9884,4.1,5.57,3812.5,8027.8,25.6,53.3,168.6,11.8,23.9,2.5,12.96,21.73,0.327316167,8.77,0.437154614,0.453145722,0.121
2011-02-06,374.4461,13.0014,58003.6595,412.0338,331.4612,176.2234,0.0,21.5249,10.0111,412.3092,322.5816,13153.4962,36851.5108,2.0343,407.457,27.4494,394.8089,0.0,0.9875,3.8,5.72,3766.4,8759.0,25.17,54.9,171.8,12.0,20.4,2.4,12.44,21.85,0.28600823,9.41,0.373875089,0.765023219,0.1445
2011-02-08,374.6361,13.0025,57375.4317,410.4526,333.7346,176.0426,0.0,23.0161,10.0067,411.4078,317.5814,10975.295,35989.5799,2.3397,406.5505,27.5651,395.2163,0.0,0.9867,4.0,5.63,3387.5,9269.9,24.77,55.8,179.2,9.7,21.9,2.1,12.49,21.06,0.300728408,8.57,0.377371283,0.7213969,0.121
2011-02-10,374.1492,12.9987,56003.8103,411.477,333.6898,176.1806,0.0,23.8285,10.0039,411.8838,326.8966,17176.393,32825.4647,2.0329,407.5045,28.0975,395.6654,0.0,0.9901,4.1,5.51,3874.0,8167.0,25.54,54.9,175.0,10.8,22.2,2.1,13.16,21.15,0.290655653,7.99,0.508234206,0.469552998,0.07
2011-02-12,372.7114,12.9971,55994.7916,411.1348,334.9262,176.2388,0.0,20.7699,10.0036,412.0726,321.2452,13876.8796,36118.8116,1.4446,408.1883,27.858,392.763,0.0,0.9906,4.3,5.34,3785.4,7498.2,24.37,52.1,169.6,8.2,25.6,1.5,12.62,20.97,0.330849082,8.35,0.440593576,0.440892404,0.07250000000000001
2011-02-14,374.7853,12.9984,56000.6999,410.739,334.5213,176.2149,2.9,20.977,10.0458,411.2419,323.4594,16003.6705,33997.2085,1.5272,407.5786,28.2467,393.9884,0.0,0.9919,4.3,5.31,3972.0,7902.07,24.42,51.2,169.8,9.3,22.1,1.5,12.8,21.91,0.319435282,9.11,0.432418726,0.434753618,0.0565
2011-02-17,375.1588,12.9985,54001.0466,408.2044,332.5127,176.065,20.0,11.5721,9.9762,412.4031,321.3039,17830.8458,34171.1598,3.2552,406.3042,27.8577,393.4776,0.0,0.9891,4.2,5.65,3579.0,7253.7,25.02,51.1,167.6,8.4,23.9,1.3,12.14,20.35,0.30667712,8.21,0.39278678,0.426496445,0.0325
2011-02-19,377.6199,12.999,54993.3613,409.0224,331.2975,176.2219,19.4823,12.2129,9.9755,412.9649,322.3002,17798.8879,34202.2796,3.2099,406.9992,28.0781,395.5916,0.0,0.9916,4.2,5.74,3752.0,7920.3,21.33,52.9,166.2,10.7,19.3,1.7,11.97,20.44,0.288493751,8.47,0.33054463,0.453044233,0.0315
