Datetime,612FC702.PV,612TC138B.PV,612TC138A.PV,612FC124.PV,612TC168B.PV,612TC168A.PV,612FC129.PV,612TC170A.PV,612FC195A.PV,612AI111B3.PV/100,612FI109.PV,612FI740.PV,612FC123.MV,612SI101.PV,612SI102.PV,612AI104E.PV,612AI107E.PV,partial_p,"Gravity, API",Total Sulfur,Total Nitrogen,5% Mass,vis 100°C,MCRT,Nickel ,Vanadium,Iron,Sodium,Calcium,NC7 Asphaltenes ,NC5 Asphaltenes,NC5-NC7 Insoluble,SEDEX,SEDEX. CAL(By crude batch),c7a_c75_r1,c7a_c75_r2,N_S_r,Ni+V,Ni+V_sqrt,4V+Ni,SHFT_avg
2010-12-26,10.0465,415.6515,320.4762,14.4166,416.6954,340.3614,9.5,406.0816,0.0,0.9744,206.0855252,27.2491238,0.0,1333.150107,1265.376089,963.6941349,913.1777385,158.8269281424,3.3,5.81,4172.0,537.0,10775.0,24.65,69.2,194.1,11.1,9.0,1.2,13.34,23.74,10.4,0.417531644,0.541043453,1.2826923076923076,0.5619208087615839,718.0722891566265,263.3,16.2265215003093,845.6,0.1
2010-12-30,10.0483,414.0148,318.9364,14.8074,414.0064,336.6899,7.4081,405.1769,0.0,0.9855,205.7429842,26.86743236,0.0,1333.078477,1252.818778,959.6295994,910.4697349,160.63661727450005,3.0,5.95,3918.0,537.0,8805.5,25.99,52.5,172.8,8.6,20.5,1.3,12.75,21.14,8.39,0.442424277,0.451026679,1.5196662693682954,0.6031220435193945,658.4873949579832,225.3,15.00999666888704,743.7,0.1
2011-01-01,10.0231,413.9022,321.2008,14.6116,413.9407,336.7882,6.012,405.9795,0.0,0.9889,205.0047844,26.8955985,0.0,1337.645954,1265.46442,953.7335943,908.7642816,161.19129670226,3.6,5.82,4010.0,536.0,8095.0,24.67,54.4,154.9,11.3,23.9,1.6,14.04,23.65,9.61,0.407169517,0.329273564,1.460978147762747,0.5936575052854123,689.0034364261168,209.3,14.467204291085409,674.0,0.045
2011-01-06,12.999,413.0251,325.017,13.0616,413.0338,329.4047,5.0002,405.6421,0.0,0.9915,200.0647079,34.66324718,0.0,1346.752795,1214.855726,946.8702785,922.9365677,161.6145156657,4.1,5.35,4021.8,538.0,7109.0,23.59,51.3,139.4,13.5,32.7,2.1,12.7,21.05,8.35,0.422127461,0.36981648,1.520958083832335,0.6033254156769595,751.7383177570094,190.7,13.809417076763232,608.9,0.075
2011-01-09,13.0024,412.0073,329.8445,13.2646,412.019,334.004,4.5005,405.1778,0.0,0.9921,199.9131735,34.63177385,0.0,1365.373428,1223.213948,934.3369888,923.4418869,161.71288633109998,4.2,5.63,3964.0,549.0,6989.0,24.5,49.1,142.9,11.9,23.6,1.8,11.96,20.09,8.13,0.398509766,0.419640445,1.4710947109471095,0.5953210552513689,704.0852575488454,192.0,13.856406460551018,620.7,0.079
2011-01-13,12.998,411.0353,330.2956,11.5624,411.1404,326.6925,3.6623,405.5097,0.0,0.9928,200.9624723,35.76118488,0.0,1351.321386,1232.084162,941.871399,919.9981161,161.82701245832,4.7,5.27,3920.0,550.0,6777.8,21.54,49.2,142.3,13.4,28.1,1.7,13.49,22.23,8.74,0.387848791,0.449008777,1.5434782608695652,0.6068376068376068,743.8330170777989,191.5,13.838352503098047,618.4000000000001,0.098
2011-01-16,12.9971,410.3458,332.2217,14.3027,411.0936,329.6621,3.6057,405.3713,0.0,0.9955,207.6852387,35.57679758,0.0,1320.507095,1216.690769,948.2034996,921.6321831,162.26621857215,4.7,5.52,3881.2,545.0,6203.0,24.32,48.5,151.5,13.5,23.9,2.2,12.07,20.82,8.75,0.378060336,0.429213746,1.3794285714285714,0.579731027857829,703.1159420289855,200.0,14.142135623730953,654.5,0.0845
2011-01-20,13.0011,407.9504,335.0059,13.952,407.8489,327.4921,3.6106,402.6558,0.0,0.9973,200.4981835,33.34906269,0.0,1288.699542,1184.225177,976.7579791,930.0054651,162.56053348496,5.1,5.56,3755.0,536.0,4223.0,23.82,46.7,142.7,15.1,20.7,1.9,10.72,18.18,7.46,0.360561405,0.386086755,1.4369973190348526,0.5896589658965897,675.3597122302159,189.4,13.762267255071018,617.5,0.02
2011-01-23,12.9989,411.0092,329.263,14.981,410.9465,331.5674,3.0013,405.9007,0.0,0.9911,199.0575373,35.77298585,0.0,1326.00316,1228.18625,957.1275663,916.4361009,161.54961388137002,4.6,5.76,3900.0,544.0,4468.9,23.8,61.1,160.6,29.5,20.4,2.7,10.64,18.55,7.91,0.365782949,0.311623201,1.345132743362832,0.5735849056603773,677.0833333333334,221.7,14.889593681494468,703.5,0.1935
2011-01-26,13.1588,411.0099,328.6938,15.5543,411.024,328.132,3.5011,405.4796,0.0,0.9951,200.5613252,35.95504369,0.0,1317.104531,1194.856135,946.267345,923.9119673,162.20124039351,3.8,5.82,3846.0,542.0,7450.0,25.0,51.3,156.4,12.5,24.5,2.7,10.84,20.19,9.35,0.316591406,0.401682267,1.1593582887700535,0.5368994551758296,660.8247422680412,207.7,14.411800720243116,676.9,0.015
