Datetime,612FC702.PV,612TC138A.PV,612FC124.PV,612TC168A.PV,612FC129.PV,612TC170A.PV,612FC195A.PV,612FI109.PV,612FI740.PV,612FC123.MV,612SI101.PV,612SI102.PV,612AI104E.PV,612AI107E.PV,partial_p,API,Sulfur %,Nitrogen ppm,MCRT wt. %,Ni ppm,V ppm,SEDEX,Na ppm,Fe ppm,Ca ppm,V(100) cSt.,N_S_r,SHFT_avg
2010-12-26,10.0465,320.4762,14.4166,340.3614,9.5,406.0816,0.0,206.0855252,27.2491238,0.0,1333.150107,1265.376089,963.6941349,913.1777385,158.8269281,3.3,5.81,4172.0,24.65,69.2,194.1,0.417531644,9.0,11.1,1.2,10775.0,718.0722892,0.1
2010-12-30,10.0483,318.9364,14.8074,336.6899,7.4081,405.1769,0.0,205.7429842,26.86743236,0.0,1333.078477,1252.818778,959.6295994,910.4697349,160.6366173,3.0,5.95,3918.0,25.99,52.5,172.8,0.442424277,20.5,8.6,1.3,8805.5,658.487395,0.1
2011-01-01,10.0231,321.2008,14.6116,336.7882,6.012,405.9795,0.0,205.0047844,26.8955985,0.0,1337.645954,1265.46442,953.7335943,908.7642816,161.1912967,3.6,5.82,4010.0,24.67,54.4,154.9,0.407169517,23.9,11.3,1.6,8095.0,689.0034364,0.045
2011-01-06,12.999,325.017,13.0616,329.4047,5.0002,405.6421,0.0,200.0647079,34.66324718,0.0,1346.752795,1214.855726,946.8702785,922.9365677,161.6145157,4.1,5.35,4021.8,23.59,51.3,139.4,0.422127461,32.7,13.5,2.1,7109.0,751.7383178,0.075
2011-01-09,13.0024,329.8445,13.2646,334.004,4.5005,405.1778,0.0,199.9131735,34.63177385,0.0,1365.373428,1223.213948,934.3369888,923.4418869,161.7128863,4.2,5.63,3964.0,24.5,49.1,142.9,0.398509766,23.6,11.9,1.8,6989.0,704.0852575,0.079
2011-01-13,12.998,330.2956,11.5624,326.6925,3.6623,405.5097,0.0,200.9624723,35.76118488,0.0,1351.321386,1232.084162,941.871399,919.9981161,161.8270125,4.7,5.27,3920.0,21.54,49.2,142.3,0.387848791,28.1,13.4,1.7,6777.8,743.8330171,0.098
2011-01-16,12.9971,332.2217,14.3027,329.6621,3.6057,405.3713,0.0,207.6852387,35.57679758,0.0,1320.507095,1216.690769,948.2034996,921.6321831,162.2662186,4.7,5.52,3881.2,24.32,48.5,151.5,0.378060336,23.9,13.5,2.2,6203.0,703.115942,0.0845
2011-01-20,13.0011,335.0059,13.952,327.4921,3.6106,402.6558,0.0,200.4981835,33.34906269,0.0,1288.699542,1184.225177,976.7579791,930.0054651,162.5605335,5.1,5.56,3755.0,23.82,46.7,142.7,0.360561405,20.7,15.1,1.9,4223.0,675.3597122,0.02
2011-01-23,12.9989,329.263,14.981,331.5674,3.0013,405.9007,0.0,199.0575373,35.77298585,0.0,1326.00316,1228.18625,957.1275663,916.4361009,161.5496139,4.6,5.76,3900.0,23.8,61.1,160.6,0.365782949,20.4,29.5,2.7,4468.9,677.0833333,0.1935
2011-01-26,13.1588,328.6938,15.5543,328.132,3.5011,405.4796,0.0,200.5613252,35.95504369,0.0,1317.104531,1194.856135,946.267345,923.9119673,162.2012404,3.8,5.82,3846.0,25.0,51.3,156.4,0.316591406,24.5,12.5,2.7,7450.0,660.8247423,0.015
