Feedstock,Feedstock코드,Origin,SHFT 영향성,API,Sulfur %,Nitrogen ppm,MCRT wt. %,Ni ppm,V ppm,Na ppm,Fe ppm,Ca ppm,ASP(C7) wt. %,V(100) cSt.
Sepinggan,SEP,Indonesia,126.73302585720373,-1.9,0.2,2902.0,16.7,13.3,1.2,87.3,49.8,68.8,9.0,12797269000.0
West Seno,WSN,Indonesia,76.9487945787476,1.4,0.4,3766.0,20.2,12.9,1.6,18.584466019417476,53.4,16.793203883495146,5.2,4643701272.0
Maya,MYA,Mexico,44.3554848903636,-3.5,6.7,5612.0,32.2,88.9,488.9,0.7,1.3,3.0,34.9,1588689154.0
Qaiyarah,QAH,Iraq,32.4551424649599,-5.1,12.6,2799.0,37.0,67.7,178.2,3.1,1.2,3.6,34.5,888862871.0
Vasconia,VAS,Colombia,19.334020718146714,-0.2,2.6,7482.0,32.2,138.1,435.0,0.0,12.3,21.6,34.0,289594563.0
Attaka,ATT,Indonesia,7.649920644993292,3.8,0.3,2653.0,6.8,0.8,0.1,18.584466019417476,5.7,16.793203883495146,0.0,41681530.0
Senipah Condensate,SEN,Indonesia,5.087093503258977,11.7,0.4,2495.0,17.4,25.0,0.3,18.584466019417476,878.9,16.793203883495146,4.5,1302.0
Castilla,CAS,Colombia,3.194296398923555,-0.3,3.0,6587.0,36.4,119.5,416.9,0.0,6.5,2.9,37.6,6646102.0
Tindalo,TDL,Phillipines,2.731701776121776,2.4,6.6,3528.0,42.1,26.4,30.4,18.584466019417476,3.4,16.793203883495146,29.1,5644839.0
Abu Dhabi Condensate,ABC,U.A.E.,2.5482447905140697,8.2,0.4,2370.0,14.8,0.1,0.2,18.584466019417476,390.0,16.793203883495146,0.4,393.0
Merey,MRY,Venezuela,2.4025822986084204,0.2,4.3,8946.0,31.1,146.4,581.1,11.3,8.7,17.9,26.0,4620984.0
Eagle Ford(50),EGE,U.S.A.,2.3688581351264917,27.0,0.3,199.0,1.9,0.7,0.6,13.1,0.4,0.3,0.1,49.0
West Texas Light (API 46),WTE,Texas,2.2097356333933806,23.4,0.1,677.0,1.8,1.1,1.0,26.1,46.3,14.1,1.6,59.0
